Box office,Budget,Country,Image,Imdb Rating,Language,Metacritics,Production company,Release date,Rotten Tomatoes,Running time,Title,Based on,Directed by,Distributed by,Music by,Produced by,Starring,Written by,Story by,Cinematography,Edited by,Screenplay by
45,0,United States,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Aarfvdsf.jpg/220px-Aarfvdsf.jpg,7.2,English,N/A,Walt Disney Productions,19-05-1937,N/A,41,Academy Award Review of Walt Disney Cartoons,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
418000000,1490000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Snow_White_1937_poster.png/220px-Snow_White_1937_poster.png,7.6,English,95/100,Walt Disney Productions,21-12-1937,N/A,83,Snow White and the Seven Dwarfs,Snow White By The Brothers Grimm,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",RKO Radio Pictures,"['Frank Churchill', 'Paul Smith', 'Leigh Harline']",Walt Disney,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']",N/A,N/A,N/A,N/A
164000000,2600000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Pinocchio-1940-poster.jpg/220px-Pinocchio-1940-poster.jpg,7.4,English,99/100,Walt Disney Productions,07-02-1940,100%,88,Pinocchio,The Adventures Of Pinocchio By Carlo Collodi,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",RKO Radio Pictures,"['Leigh Harline', 'Paul J. Smith']",Walt Disney,"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']",N/A,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",N/A,N/A,N/A
76400000,2280000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Fantasia-poster-1940.jpg/220px-Fantasia-poster-1940.jpg,7.7,English,96/100,Walt Disney Productions,13-11-1940,95%,126,Fantasia,N/A,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney Productions', 'RKO Radio Pictures']",See program,"['Walt Disney', 'Ben Sharpsteen']","['Leopold Stokowski', 'Deems Taylor']",N/A,"['Joe Grant', 'Dick Huemer']",James Wong Howe,N/A,N/A
960000,600000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Reluctant_Dragon.jpg/220px-Reluctant_Dragon.jpg,6.9,English,N/A,Walt Disney Productions,20-06-1941,67%,74,The Reluctant Dragon,N/A,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",RKO Radio Pictures,"['Frank Churchill', 'Larry Morey']",Walt Disney,"['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",N/A,Bert Giennon,Paul Weatherwax,N/A
1300000,950000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Dumbo-1941-poster.jpg/220px-Dumbo-1941-poster.jpg,7.2,English,96/100,Walt Disney Productions,23-10-1941,98%,64,Dumbo,"Dumbo The Flying Elephant By Helen Aberson , Harold Pearl","['Supervising director:', 'Ben Sharpsteen', 'Sequence directors:', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",RKO Radio Pictures,"['Frank Churchill', 'Oliver Wallace']",Walt Disney,"['Edward Brophy', 'Herman Bing', 'Margaret Wright', 'Sterling Holloway', 'Verna Felton', 'Cliff Edwards', 'James Baskett', 'Nick Stewart', 'Hall Johnson', 'Jim Carmichael']",N/A,"['Otto Englander', 'Joe Grant', 'Dick Huemer']",N/A,N/A,N/A
267400000,858000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Walt_Disney%27s_Bambi_poster.jpg/220px-Walt_Disney%27s_Bambi_poster.jpg,7.3,English,91/100,Walt Disney Productions,09-08-1942,90%,70,Bambi,Bambi A Life In The Woods By Felix Salten,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",RKO Radio Pictures,"['Frank Churchill', 'Edward H. Plumb']",Walt Disney,see below,N/A,"['Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']",N/A,N/A,N/A
1135000,0,United States,https://upload.wikimedia.org/wikipedia/en/a/af/Saludosposter.jpg,6.1,"['English', 'Portuguese', 'Spanish']",60/100,Walt Disney Productions,24-08-1942,N/A,42,Saludos Amigos,N/A,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",RKO Radio Pictures,"['Paul Smith', 'Edward H. Plumb']",Walt Disney,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']",N/A,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",N/A,N/A,N/A
799000,788000,United States,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Victory_Through_Air_Power_poster.jpg/220px-Victory_Through_Air_Power_poster.jpg,6.5,English,N/A,Walt Disney Productions,17-07-1943,54%,65,Victory Through Air Power,Victory Through Air Power By Maj. Alexander P. Seversky,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",United Artists,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",Walt Disney,Alexander de Seversky,"['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",N/A,Ray Rennahan,Jack Dennis,N/A
3355000,0,United States,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Three_caballeros_poster.png/220px-Three_caballeros_poster.png,6.4,"['English', 'Spanish', 'Portuguese']",85/100,Walt Disney Productions,21-12-1944,82%,71,The Three Caballeros,N/A,"['Norman Ferguson (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young (sequence directors)']",RKO Radio Pictures,"['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",Walt Disney,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']",N/A,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",N/A,N/A,N/A
